"id","study_id","read_calctype","read_ancovasource","read_calcmethod","read_imputemethod","justification","imbalance","read_comments","recalc_study","recalc_calctype","recalc_ancovasource","recalc_calcmethod","recalc_imputemethod","recalc_comments","extract_user","submitted_date","last_updated","is_draft"
"69","126","change score",NULL,"SMD based on change scores, with post score SD ? 
&quot;pre- to post-intervention data indexation methodology, ... the standard deviation (post-intervention only) was entered as a percentage of the absolute mean&quot;","post score SD ?","none","PEDro scale for RoB assessment","forest plot does not include exact values -see supplementary material.","15 of 17 - Contreras (2017)","change score",NULL,"SMD calculated with percentual change from pre to post. It was not like in MA stated that they used for improvement 104%, they used 4% instead. SMD calculated with post score SD (in % to mean post score value)","standardised by post score SD","the supplemental material also stated values of 103,4% etc even they used just 3,4% and so on ... 
Furthermore, they were small rounding/ calculation errors","TS","2025-06-25 08:59:50","2025-06-25 09:23:55","0"
"70","128","change score",NULL,"SMD (with Hedges&#039; correction) based on change scores standardized by pre sd","unclear","reference to Diaz 2011 and Hedges &amp; Olkin 1985","RCT and non-RCT included, ROB(-1) for bias assessment","This is a Bayesian Model Based Network MA with time-course and dose-response analysis. The text presents how ES were calculated, but no individual ES are shown in the article or supplemental information, so no recalculation can be performed. The public repository that should contain data and code for the study is empty.",,NULL,NULL,,,,"SN","2025-06-25 09:57:48","2025-06-25 10:23:04","0"
"71","129","change score",NULL,"SMD (with Hedges&#039; correction) based on change scores standardized by pooled pre sd (i.e., Morris ppc2 approach), but with a variance estimation for two independent groups (Borenstei &amp; Hedges formula)","none","reference to an earlier MA (Behringer et al. 2011) which used the same ES, Lakens 2013 for using the Hedges&#039; correction, &quot;Unless stated otherwise, the following calculations were performed as described by Borenstein et al. (5).&quot;","RCT and non-RCT included, checklist by Downs &amp; Black for bias assessment","The MA is extremely detailed in explaining its effect size calculation, providing formulas and references for each step. Nevertheless the variance estimator is not appropriate for the ES chosen.","Palmieri 1986 (23 out of 25 from Fig 2)","change score",NULL,"SMD (with Hedges&#039; correction) based on change scores standardized by pooled pre sd (i.e., Morris ppc2 approach), but with a variance estimation for two independent groups (Borenstei &amp; Hedges formula)","none",,"SN","2025-06-25 10:15:47","2025-06-25 10:36:10","0"
"72","131","unclear",NULL,"either MD (as seen in the forest plots) or SMD of change scores with change score sd as standardizer (as described in the text) with an imputed correlation of 0.8",,"imputed correlation based on a previous MA in the field (Naci et al. 2019), though that study does not justify why they used 0.8, but they presented a sensitivity analyis","only RCTs included, TESTEX for bias assessment","This is a large MA with pairwise comparisons and a Bayesian Network-MA. It may be the case that different ES were used for these two analyses. No individual study ES are presented in the article and its supplementary materials, so no recalculation can be performed.",,NULL,NULL,,,,"SN","2025-06-25 11:01:35","2025-06-25 11:01:35","0"
"73","134","change score",NULL,"MD or SMD based on change scores and their sd","0.7","MD or SMD depending on whether the same scale was used for all outcomes; for imputation, reference to a previous MA (Mason et al. 2021) that used a correlation of 0.7 based on two primary studies while performing a sensitivity analysis","RCT and non-RCT included, &quot;The Critical Appraisal Checklist for Case Control Studies or RCT of the Faculty of Health and Medical Sciences at the University of Adelaide&quot; used for bias assessment",,"Teo et al. 2020 (1 out of 10 from Fig 2A)","unclear",NULL,"unclear, possibly something based on change scores",,"I tried several studies but could not fully reproduce a single ES. Also, very likely double counting of a treatment arm. Partly incorrect reference numbers in forest plot.","SN","2025-06-25 11:45:28","2025-06-25 14:18:10","0"
"74","136","change score",NULL,"SMD (with Hedges&#039; correction) based on change scores and their sd","r = 0.5","SMD because of different measurement scales (ref to Cochrane), bias correction because of small sample bias (ref to Hedges &amp; Olkin), imputation based on a previous MA (Lopez et al 2021, but they chose it without justification).","only randomized trials included, ROB-2 for bias assessment","this is a network-MA and the article does only present aggregated ES. But the Suppl Fig S7/8 show a threshold analysis, also displaying individual study ES, so I will try to use these for the recalculation.","Padilha et al 2015 (53 out of 69 from Fig S7)","change score",NULL,"SMD with Hedges&#039; correction based on change scores and their sds","r = 0.5","The MA has an error in the ES CI calculation: The authors very likely mistook the ES SE for the ES var. This leads to overly wide CIs, since SE(ES) &gt; var(ES) for var(ES) &lt; 1. I could fully reproduce the ES and its CI when considering this issue.","SN","2025-06-25 14:32:49","2025-06-25 15:25:38","0"
"75","137","change score",NULL,"SMD (with Hedges&#039; correction) based on change scores and their sds","r = 0.5","none","probably randomized and nonrandomized studies included, Downs &amp; Black checklist for bias assessment","I use the chronic effect MA for data extraction and recalculation, as this is the one that matches best the inclusion criteria","Weakley et al. 2019 (2 out of 6 from Fig 3)","change score",NULL,"SMD (with Hedges&#039; correction) based on change scores and their sd","r = 0.5","It is interesting that the MA authors state that &quot;Pre- to post-correlation values were not reported
by included studies&quot;, but the study reanalyze has the same first author, so the correlation could have probably calculated from the raw data if available.","SN","2025-06-25 15:25:29","2025-06-25 15:43:40","0"
"76","139","unclear",NULL,"Hedges&#039; g (so probably SMD, but unclear based on what)",,"none","only RCTs included, PEDRO for bias assessment",,"Lavretsky et al. 2022 (24 out of 77 from Fig 2)","post-measures",NULL,"SMD (probably with Hedges&#039; correction) of post-scores",,"I could only almost perfectly recalculate the ES and its CI, but there were very minor discrepancies. I could not figure out why these discrepancies occurred.","SN","2025-06-25 16:11:50","2025-06-25 17:17:59","0"
"77","140","unreported",NULL,"SMD with Hedges&#039; correction",,"none","only RCTs included, ROB-2 for bias assessment",,"Gupta &amp; Mamidi 2013 (1 out of 2 from Fig 2) [random number generator selected study 2 but I could not retrieve the full text for this study)","post-measures",NULL,"SMD (with Hedges&#039; correction) of post scores and their sd",,"I believe the recalculated ES has the wrong sign. But the primary study was unclear whether they reported post-scores (which would mean the ES has the wrong sign) or change scores (which would mean the ES has the correct sign). I checked another ES and that was calculated using post-scores.","SN","2025-06-26 09:26:13","2025-06-26 10:06:22","0"
"78","145","post-measures",NULL,"SMD (with Hedges&#039; correction) of post-scores and their sd",,"reference to Borenstein et al. 2009 for using Hedges&#039; correction","RCT and non-RCT included, PEDRO for bias assessment","detailed description of the ES calculation procedure including all formulas","Gallagher et al. 2010 (this is the only study from Fig 2A that shows an individual ES instead of a combined measure)","post-measures",NULL,"SMD (with Hedges&#039; correction) of post scores and their sd with Borenstein &amp; Hedges variance estimator",,,"SN","2025-06-26 10:08:56","2025-06-26 10:30:29","0"
