study_id,extraction_id,is_double,status,status_explanation,read_calctype,read_ancovasource,read_calcmethod,read_imputemethod,justification,imbalance,read_comments,recalc_study,recalc_calctype,recalc_ancovasource,recalc_calcmethod,recalc_imputemethod,recalc_comments,extract_user,submitted_date,last_updated,is_draft,recalc_imputemethod_result,calcmethod_code,hedges,standardizer,varestimator,reporting,error_extraction,error_extraction_note,error_calculation,error_calculation_note,error_reporting,error_reporting_note,further_observation
107,62,FALSE,,,change score,NULL,SMD (with Hedges&#039; correction) based on change scores using raw score standardization,r = 0.5,references to Berkey et al. 1998 and Morris 2008,"randomization unclear, but from the topic I assume that only non-randomized studies were included, TESTEX for bias assessment, but items regarding randomization were not considered.","The procedure described matches the ppc1 approach by Morris 2008 with a variance estimator from Becker 1988 (as outlined in the metafor tutorial). The MA has open data and code, which will certainly help during recalculation.","Romance et al. 2019 (3 out of 6 from Fig 2), initially the random number generator picked 4 (Dalgaard et al. 2022), but the study had multiple outcome measures included in the MA, so I chose the next with only a single outcome measure included.",change score,NULL,SMD (with Hedges&#039; correction) with raw (= pre) score standardization (Morris ppc1 approach with Becker 1988 variance estimator).,r = 0.7,"Contrary to the reporting, the MA used a correlation of 0.7 instead of 0.5 for imputation, as evidenced in the published analysis script and validated during the successful recalculation. The",SN,20.06.2025 14:48,20.06.2025 15:25,0,0.7,ppc1_becker,TRUE,pre,becker,complete,none,,none,,minor,A correlation of 0.7 was imputed instead of the reported 0.5,
109,63,TRUE,,,post-measures,NULL,SMD (with Hedges&#039; correction) of post scores and their SD (MD for one measure),"na, based on post score SD","reference to Cochrane handbook for systematic reviews of interventions; 2021, when SMD was explained. Reference to Hedges &amp; Olkin 1981 for bias correction.",Risk of Bias 2.0 Tool,The MA states: &quot;The reviewer [doing the data extraction] used established imputation methods for missing measures of uncertainty and data transformation.&quot; Authors share analysis code.,Study 8 of 12 - Kirchenberger et al. (2021),post-measures,NULL,"SMD, Hedges correction, based on post scores and post SD (metafor variance estimator)",none,recalculation succeeded as reported in the meta analysis,TS/SN,22.06.2025 08:49,17.12.2025 11:39,0,na,smd_hedges_post_metafor,TRUE,post,metafor,complete,none,,none,,none,,
113,64,FALSE,,,change score,NULL,"SMD (with Hedges&#039; correction) as a standardized difference between within-group SMD, which are defined as mean-differences standardized by the pooled standard deviation (bias-corrected).",none,none,"probably only RCTs included, ROB-2 for bias assessment","the MA provides detailed formulas for the ES point estimates, but there are some uncertainties in these.",Sinclair et al 2021 (20 out of 24 from Fig 3),change score,NULL,SMD based on change scores and the pooled pre-post SD,none,"The ES calculation does treat the pre-post measurement as if they were independent groups, thus no correlation is imputed. The ES formula given in the MA text are incorrect.",SN,23.06.2025 10:19,23.06.2025 10:58,0,na,smd_hedges_change_pooled_revman,TRUE,change,revman,incorrect,none,,none,,major,incorrect formulas reported,
117,65,FALSE,,,change score,NULL,MD based on percentage changes and their sds,"none, since all studies reported a measure of the variability of change",none,"randomized and non-randomized controlled trials included, ROB(-1) for bias assessment","The article reports a second type of MA, investigating bone turnover markers using a SMD approach, but since this analysis is not reported in the abstract and its forest plots are online available in the supplementary material, this data extraction focuses on the primary MA.",(12 out of 16 from Fig 2),change score,NULL,MD of percentage change scores and their sd,"none, because all studies reported sd or se of change (or related measures)","I checked for several studies that measures for the spread of change scores were indeed reported. The reporting of percentage change (+ variance) seems to be standard in this particular field (bone mineral density research). The recalculation was based on data extracted from a plot, so I got no perfect recalculation match.",SN,23.06.2025 13:10,23.06.2025 13:58,0,na,md_change_change,NA,change,hetero,complete,none,,none,,none,,
119,66,FALSE,,,unclear,NULL,"SMD, possibly comparing the post scores of both groups/conditions",,"none, reference to an online calculator (which, among others, provides methods to calculate Hedges&#039; g effect sizes for paired t-tests).","unclear, although this was not a criterion all included studies had a cross-over design. PEDRO for bias assessment",crossover design for all included studies.,Cochrane 2013 (2 out of 19 from Fig 2),post-measures,NULL,"SMD (with Hedges&#039; correction) of post scores for repeated measurements (but using the d_repeated measures method, which has the sd of difference scores as the denominator and the standardizer 2*sqrt(1-r)). Possibly r = 0.5 for the repeated measures correlation, CI calculation unclear.",,"I could reproduce the ES points estimates when using the method described above. This is only valid because the study designs were all cross-over. I am quite sure that r is equal to or near 0.5 but cannot validate this, as I could not fully reproduce the CIs. When I use the SE given in the forest plot I could reproduce the CI given in the forest plot. But I don&#039;t know how to get the SE in the forest plot from the results of the online calculator the MA authors used.

[UPDATE AFTER AUTHOR CONTACT:]
The authors provided verification that they indeed used the online calculator with the specified parameters. Upon reanalysis, I found that when using the rounded SE, back-calculated from the CI given in the online calculator, this matches the SE in the forest plot. I tried to recalculate the CI in the online calculator, I got very near when using a t-distribution based CI of a SMCR with an imputed r = 0.5. I have updated the R code.",SN,23.06.2025 14:00,11.11.2025 11:49,0,na,smd_hedges_post_rm_smcrvar,TRUE,change,within,incomplete,none,,minor,Hedges' correction only applied to point ES but not to variance,none,,
120,67,TRUE,,,unclear,NULL,SMD (unclear if based on change or post scores),,none,"only RCTs included, ROB(-1) for bias assessment","Based on the text, both change and post scores could have been used",Asadi et al. 2017 (7 out of 28 from Fig 4),post-measures,NULL,"SMD (with Hedges&#039; correction) of post scores and their sds, using the RevMan variance estimator",,double counting of studies,SN/TS,24.06.2025 10:59,19.12.2025 12:46,0,na,smd_hedges_post_revman,TRUE,post,revman,incomplete,none,,none,,none,,
122,68,FALSE,,,post-measures,NULL,SMD of post scores,,none,"only RCTs included, MMAT for bias assessment",only aggregated findings are presented in the forest plots,Persoon et al. 2017  (2 out of 2 from the aggregated findings in forest plot S6 that have only one intervention arm),post-measures,NULL,SMD (with Hedges&#039; correction) of post scores and their sds,,"Only aggregated findings were presented in forest plots, so I had to select a subgroup that aggregated only one study. For the ES calculation, the MA used the baseline sample size instead of the actual post score sample size, which lead to minor discrepancies in the CI but not the ES point estimate.",SN,24.06.2025 14:55,25.06.2025 09:42,0,na,smd_hedges_post,TRUE,post,revman,incomplete,minor,incorrect samples sizes extracted,none,,none,,
126,69,TRUE,,,change score,NULL,SMD based on percentage change scores standardized by (percentage) post-SD,none,none,PEDro scale for RoB assessment,forest plot does not include exact values -see supplementary material.,15 of 17 - Contreras (2017),change score,NULL,"SMD (with Hedges&#039; correction) based on percentage change scores standardized by (percentage) post-SD (probably RevMan variance estimator). It was not like in MA stated that they used for improvement 104%, they used 4% instead. SMD calculated with post score SD (in % to mean post score value)",none,"I had to consider one potential data extraction error to get a matching result. The variance estimator could also be the metafor one, because both give almost exact results",TS/SN,25.06.2025 08:59,17.12.2025 11:45,0,na,smd_hedges_change_post_revman,TRUE,post,revman,incomplete,minor,incorrect sd extracted,none,,none,,
128,70,FALSE,exclude,arm-based NMA,change score,NULL,SMD (with Hedges&#039; correction) based on change scores standardized by pre sd,unclear,reference to Diaz 2011 and Hedges &amp; Olkin 1985,"RCT and non-RCT included, ROB(-1) for bias assessment","This is a Bayesian Model Based Network MA with time-course and dose-response analysis. The text presents how ES were calculated, but no individual ES are shown in the article or supplemental information, so no recalculation can be performed. The public repository that should contain data and code for the study is empty.

[EDIT AFTER AUTHOR CONTACT: After writing the corresponding author, the authors updated their study repository to include data and code. The data and code shows that no pairwise analyses were performed and that effect sizes were only calculated within individual treatment groups but not studies (so no direct group comparisons were performed). (Also the within group effect sized were calculated as if they were between group comparisons, but this is not a matter here). So I would argue to exclude this MA, as it does not match the analysis design we are looking for.]",Brown 2016 usual care (6 out of 38 from data sheet 3 &quot;hospital_data_agent_MBNMA&quot;),NULL,NULL,,,,SN,25.06.2025 09:57,24.10.2025 11:20,0,,,,,,,,,,,,,
129,71,FALSE,,,change score,NULL,"SMD (with Hedges&#039; correction) based on change scores standardized by pooled pre sd (i.e., Morris ppc2 approach), but with a variance estimation for two independent groups (Borenstei &amp; Hedges formula)",none,"reference to an earlier MA (Behringer et al. 2011) which used the same ES, Lakens 2013 for using the Hedges&#039; correction, &quot;Unless stated otherwise, the following calculations were performed as described by Borenstein et al. (5).&quot;","RCT and non-RCT included, checklist by Downs &amp; Black for bias assessment","The MA is extremely detailed in explaining its effect size calculation, providing formulas and references for each step. Nevertheless the variance estimator is not appropriate for the ES chosen.",Palmieri 1986 (23 out of 25 from Fig 2),change score,NULL,"SMD (with Hedges&#039; correction) based on change scores standardized by pooled pre sd (i.e., Morris ppc2 approach), but with a variance estimation for two independent groups (Borenstei &amp; Hedges formula)",none,,SN,25.06.2025 10:15,25.06.2025 10:36,0,na,ppc2_bh,TRUE,pre,bh,complete,none,,minor,variance estimation does not match point estimate formula,none,,
131,72,FALSE,unclear,no effect sizes available for recalculation,unclear,NULL,either MD (as seen in the forest plots) or SMD of change scores with change score sd as standardizer (as described in the text) with an imputed correlation of 0.8,,"imputed correlation based on a previous MA in the field (Naci et al. 2019), though that study does not justify why they used 0.8, but they presented a sensitivity analyis","only RCTs included, TESTEX for bias assessment","This is a large MA with pairwise comparisons and a Bayesian Network-MA. It may be the case that different ES were used for these two analyses. No individual study ES are presented in the article and its supplementary materials, so no recalculation can be performed.",,NULL,NULL,,,The MA performs pairwise analyses but does not present any individual study effect sizes,SN,25.06.2025 11:01,08.10.2025 15:11,0,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,unclear,,unclear,,
134,73,TRUE,unclear,recalculation not matching,change score,NULL,MD or SMD based on change scores and their sd,0.7,"MD or SMD depending on whether the same scale was used for all outcomes; for imputation, reference to a previous MA (Mason et al. 2021) that used a correlation of 0.7 based on two primary studies while performing a sensitivity analysis","RCT and non-RCT included, &quot;The Critical Appraisal Checklist for Case Control Studies or RCT of the Faculty of Health and Medical Sciences at the University of Adelaide&quot; used for bias assessment",,Teo et al. 2020 (1 out of 10 from Fig 2A),unclear,NULL,"unclear, possibly something based on change scores",,"We tried several studies but could not fully reproduce a single ES. Also, very likely double counting of a treatment arm. Partly incorrect reference numbers in forest plot.",SN/RR,25.06.2025 11:45,19.12.2025 12:55,0,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,unclear,,unclear,,
136,74,TRUE,,,change score,NULL,SMD (with Hedges&#039; correction) based on change scores and their sd,r = 0.5,"SMD because of different measurement scales (ref to Cochrane), bias correction because of small sample bias (ref to Hedges &amp; Olkin), imputation based on a previous MA (Lopez et al 2021, but they chose it without justification).","only randomized trials included, ROB-2 for bias assessment","this is a network-MA and the article does only present aggregated ES. But the Suppl Fig S7/8 show a threshold analysis, also displaying individual study ES, so I will try to use these for the recalculation.",Padilha et al 2015 (53 out of 69 from Fig S7),change score,NULL,SMD with Hedges&#039; correction based on change scores and their sds,r = 0.5,"The MA has an error in the ES CI calculation: The authors very likely mistook the ES SE for the ES var. This leads to overly wide CIs, since SE(ES) &gt; var(ES) for var(ES) &lt; 1. I could fully reproduce the ES and its CI when considering this issue.",SN/RR,25.06.2025 14:32,19.12.2025 13:03,0,0.5,smd_hedges_change_change_reman_mixup,TRUE,change,revman,complete,none,,major,mixup between ES SE and var: the authors used SE(ES) instead of var(ES) for their CI calculation,none,,
137,75,FALSE,,,change score,NULL,SMD (with Hedges&#039; correction) based on change scores and their sds,r = 0.5,none,"probably randomized and nonrandomized studies included, Downs &amp; Black checklist for bias assessment","I use the chronic effect MA for data extraction and recalculation, as this is the one that matches best the inclusion criteria",Weakley et al. 2019 (2 out of 6 from Fig 3),change score,NULL,SMD (with Hedges&#039; correction) based on change scores and their sd,r = 0.5,"It is interesting that the MA authors state that &quot;Pre- to post-correlation values were not reported
by included studies&quot;, but the study reanalyze has the same first author, so the correlation could have probably calculated from the raw data if available.",SN,25.06.2025 15:25,25.06.2025 15:43,0,0.5,smd_hedges_change_change_metafor,TRUE,change,metafor,complete,none,,none,,none,,
139,76,FALSE,,,unclear,NULL,"Hedges&#039; g (so probably SMD, but unclear based on what)",,none,"only RCTs included, PEDRO for bias assessment",,Lavretsky et al. 2022 (24 out of 77 from Fig 2),post-measures,NULL,SMD (probably with Hedges&#039; correction) of post-scores,,"I could only almost perfectly recalculate the ES and its CI, but there were very minor discrepancies. I could not figure out why these discrepancies occurred.",SN,25.06.2025 16:11,25.06.2025 17:17,0,na,smd_hedges_post_metafor,TRUE,post,metafor,incomplete,none,,none,,none,,
140,77,TRUE,,,unclear,NULL,SMD with Hedges&#039; correction (unclear if based on post or change scores),,none,"only RCTs included, ROB-2 for bias assessment",,Gupta &amp; Mamidi 2013 (1 out of 2 from Fig 2) [random number generator selected study 2 but I could not retrieve the full text for this study),post-measures,NULL,SMD (with Hedges&#039; correction) of post scores and their sd,,"For the first study it was unclear whether change or post scores were presented. I checked two further studies, both reported pre and post values and in both instances only the post values (no change scores) were used for the calculations",SN/RR,26.06.2025 09:26,19.12.2025 13:40,0,na,smd_hedges_post_metafor,TRUE,post,metafor,incomplete,none,,none,,none,,
145,78,FALSE,,,post-measures,NULL,SMD (with Hedges&#039; correction) of post-scores and their sd,,reference to Borenstein et al. 2009 for using Hedges&#039; correction,"RCT and non-RCT included, PEDRO for bias assessment",detailed description of the ES calculation procedure including all formulas,Gallagher et al. 2010 (this is the only study from Fig 2A that shows an individual ES instead of a combined measure),post-measures,NULL,SMD (with Hedges&#039; correction) of post scores and their sd with Borenstein &amp; Hedges variance estimator,,,SN,26.06.2025 10:08,26.06.2025 10:30,0,na,smd_hedges_post_bh,TRUE,post,bh,complete,none,,none,,none,,
148,79,FALSE,,,post-measures,NULL,SMD of post scores and their sd,,none,"only RCTs included, ROB-2 for bias assessment","The full text reports no individual study ES, so we will use the forest plots from the supplementary material instead",Adams et al. 2018 (1 out of 15 from Fig S1),post-measures,NULL,"SMD (with Hedges&#039; correction) of post scores and their SD (possibly RevMan variance estimator, but could not verify because the results were to similar to the other estimators)",,,SN,26.06.2025 10:47,26.06.2025 10:47,0,na,smd_hedges_post_revman,TRUE,post,revman,incomplete,minor,incorrect sample size extracted,none,,none,,
149,80,FALSE,,,unclear,NULL,MD,,none,"only RCTs included,",,Tew et al. 2019 (46 out of 65 from Fig 2),change score,NULL,MD based on change score and change score sd,r = 0.7,"I could reproduce the ES point estimate, but not its variance and thus Cis [UPDATE AFTER REANALYSIS: I could perfectly determine the ES and CI calculation procedure for three out of five effect sizes, but only when incorrectly using the SE instead of the SD for all three and the baseline instead of the completed sample size in two of the three]",SN,26.06.2025 10:52,05.01.2026 11:39,0,0.7,md_change_change_homo,NA,change,homo,incomplete,major,"SE/SD mixup, incorrect sample size extracted, potentially further extraction issues",none,,none,,
152,81,FALSE,,,post-measures,NULL,SMD of post scores,,none,"randomized and non-randomized studies included, modified Knet checklist for bias assessment","the MA states that most data had to be extracted from figures, which can create difficulties during the recalculation. Forest plots are only available in the supplementary materials",Chen et al. 2012 (20 out of 41 from Fig S1),post-measures,NULL,SMD (with Hedges' correction) based on post scores and the post SD,,"I could not recalculate any ES size, because all three I checked relied (as far as I understood the original publications and MA procedures correctly) on data extracted from low-quality figures. Hence, I could not generate reliable data that could be used for a recalculation. [EDIT AFTER REANALYSIS:] I tried another study that reported data in a table instead of a figure and could succesfully determine the calculation procedure, but only when using the presented SE without calculating the SD)",SN,26.06.2025 12:04,26.06.2025 13:05,0,na,smd_hedges_post_revman,TRUE,post,revman,incomplete,major,SE/SD mixup,none,,none,,
